"federalDistrict","region","population","administrativeCenter","populationWithSubordinateDistricts","carCode"
"Центральный  ФО","Белгородская область"," 1511620 ","Белгород","337030","31"
"Центральный  ФО","Брянская область"," 1378941 ","Брянск","431526","32"
"Центральный  ФО","Владимирская область"," 1523990 ","Владимир","315954","33"
"Центральный  ФО","Воронежская область"," 2378803 ","Воронеж","848752","36, 136"
"Центральный  ФО","Ивановская область"," 1148329 ","Иваново","431721","37"
"Центральный  ФО","Калужская область"," 1041641 ","Калуга","350633","40"
"Центральный  ФО","Костромская область"," 736641 ","Кострома","278750","44"
"Центральный  ФО","Курская область"," 1235091 ","Курск","412442","46"
"Центральный  ФО","Липецкая область"," 1213499 ","Липецк","506114","48"
"Центральный  ФО","Москва"," 10382754 ","Москва","10126424","77, 97, 99, 177, 199, 197, 777"
"Центральный  ФО","Московская область"," 6618538 ","Москва","","50, 90, 150, 190, 750"
"Центральный  ФО","Орловская область"," 860262 ","Орел","333310","57"
"Центральный  ФО","Рязанская область"," 1227910 ","Рязань","521560","62"
"Центральный  ФО","Смоленская область"," 1049574 ","Смоленск","325137","67"
"Центральный  ФО","Тамбовская область"," 1178443 ","Тамбов","293658","68"
"Центральный  ФО","Тверская область"," 1471459 ","Тверь","408903","69, 169"
"Центральный  ФО","Тульская область"," 1675758 ","Тула","481216","71"
"Центральный  ФО","Ярославская область"," 1367398 ","Ярославль","613088","76"
"Северо-Западный ФО","Архангельская область"," 1336539 ","Архангельск","362327","29"
"Северо-Западный ФО","Вологодская область"," 1269568 ","Вологда","293046","35"
"Северо-Западный ФО","Калининградская область"," 955281 ","Калининград","430003","39, 91"
"Северо-Западный ФО","Республика Карелия"," 716281 ","Петрозаводск","266589","10"
"Северо-Западный ФО","Республика Коми"," 1018674 ","Сыктывкар","230011","11"
"Северо-Западный ФО","Ленинградская область"," 1669205 ","Санкт-Петербург","","47"
"Северо-Западный ФО","Мурманская область"," 892534 ","Мурманск","336137","51"
"Северо-Западный ФО","Ненецкий автономный округ"," 41546 ","Салехард","48467","83"
"Северо-Западный ФО","Новгородская область"," 694355 ","Великий Новгород","216856","53"
"Северо-Западный ФО","Псковская область"," 760810 ","Псков","202780","60"
"Северо-Западный ФО","Санкт-Петербург"," 4661219 ","Санкт-Петербург","4661219","78, 98, 178"
"Приволжский ФО","Республика Башкортостан"," 4104336 ","Уфа","1049479","02, 102"
"Приволжский ФО","Кировская область"," 1503529 ","Киров","457578","43"
"Приволжский ФО","Республика Марий Эл"," 727979 ","Йошкар-Ола","281165","12"
"Приволжский ФО","Республика Мордовия"," 888766 ","Саранск","304866","13, 113"
"Приволжский ФО","Нижегородская область"," 3524028 ","Нижний Новгород","1311252","52, 152"
"Приволжский ФО","Оренбургская область"," 2179551 ","Оренбург","549361","56"
"Приволжский ФО","Пензенская область"," 1452941 ","Пенза","518437","58"
"Приволжский ФО","Пермский край"," 2633774 ","Пермь","1001653","59, 81, 159"
"Приволжский ФО","Самарская область"," 3239737 ","Самара"," 1,157,880 ","63, 163"
"Приволжский ФО","Саратовская область"," 2668310 ","Саратов"," 873,055 ","64, 164"
"Приволжский ФО","Республика Татарстан"," 3779265 ","Казань"," 1,105306 ","16, 116"
"Приволжский ФО","Удмуртская Республика"," 1570316 ","Ижевск"," 632,140 ","18"
"Приволжский ФО","Ульяновская область"," 1382811 ","Ульяновск"," 657,498 ","73, 173"
"Приволжский ФО","Чувашская Республика"," 1313754 ","Чебоксары"," 440,621 ","21, 121"
"Уральский ФО","Курганская область"," 1019532 ","Курган"," 345,515 ","45"
"Уральский ФО","Свердловская область"," 4486214 ","Екатеринбург"," 1,293,537 ","66, 96, 196"
"Уральский ФО","Тюменская область"," 3264841 ","Тюмень"," 510,719 ","72"
"Уральский ФО","Ханты-Мансийский автономный округ - Югра"," 1432817 ","Ханты-мансийск"," 53,953 ","86, 186"
"Уральский ФО","Челябинская область"," 3603339 ","Челябиннск"," 1,104,648 ","74, 174"
"Уральский ФО","Ямало-Ненецкий автономный округ"," 507006 ","Салехард"," 37,035 ","89"
"Сибирский ФО","Республика Алтай"," 202947 ","Горно-Алтайск"," 53,538 ","4"
"Сибирский ФО","Алтайский край"," 2607426 ","Барнаул"," 600,749 ","22"
"Сибирский ФО","Республика Бурятия"," 981238 ","Улан-Удэ"," 386,880 ","3"
"Сибирский ФО","Забайкальский край"," 1082633 ","Чита"," 317,183 ","75, 80"
"Сибирский ФО","Иркутская область"," 2581705 ","Иркутск"," 593,604 ","38, 85, 138"
"Сибирский ФО","Кемеровская область"," 2899142 ","Кемерово"," 484,754 ","42, 142"
"Сибирский ФО","Красноярский край"," 2966042 ","Красноярск"," 909,341 ","24, 84, 88, 124"
"Сибирский ФО","Новосибирская область"," 2692251 ","Новосибирск"," 1,425,508 ","54, 154"
"Сибирский ФО","Омская область"," 2079220 ","Омск"," 1,134,016 ","55"
"Сибирский ФО","Томская область"," 1046039 ","Томск"," 487,838 ","70"
"Сибирский ФО","Республика Тыва"," 305510 ","Кызыл"," 104,105 ","17"
"Сибирский ФО","Республика Хакасия"," 546072 ","Абакан"," 165,197 ","19"
"Дальневосточный ФО","Амурская область"," 902844 ","Благовещенск"," 32989 ","28"
"Дальневосточный ФО","Еврейская автономная область"," 190915 ","Биробиджан"," 77,250 ","79"
"Дальневосточный ФО","Камчатская область"," 358801 ","Петропавловск-Камчатский"," 198028 ",""
"Дальневосточный ФО","Магаданская область"," 182726 ","Магадан"," 99,399 ","49"
"Дальневосточный ФО","Приморский край"," 2071210 ","Владивосток"," 594,701 ","25, 125"
"Дальневосточный ФО","Республика Саха (Якутия)"," 949280 ","Якутск"," 210642 ","14"
"Дальневосточный ФО","Сахалинская область"," 546695 ","Южно-Сахалинск"," 175,085 ","65"
"Дальневосточный ФО","Хабаровский край"," 1436570 ","Хабаровск"," 583,072 ","27, 127"
"Дальневосточный ФО","Чукотский автономный округ"," 53824 ","Анадырь"," 11038 ","87"
"Южный ФО","Республика Адыгея"," 447109 ","Майкоп"," 175,753 ","1"
"Южный ФО","Астраханская область"," 1005276 ","Астрахань"," 504,501 ","30"
"Южный ФО","Волгоградская область"," 2699223 ","Волгоград"," 1,011,417 ","34, 134"
"Южный ФО","Республика Калмыкия"," 292410 ","Элиста"," 108,511 ","8"
"Южный ФО","Краснодарский край"," 5125221 ","Краснодар"," 646,175 ","23, 93, 123"
"Южный ФО","Ростовская область"," 4404013 ","Ростов"," 34,141 ","61, 161"
"Северо-Кавказский ФО","Республика Дагестан"," 2576531 ","Махачкала"," 462,412 ","5"
"Северо-Кавказский ФО","Республика Ингушетия"," 467294 ","Магас"," 275 ","6"
"Северо-Кавказский ФО","Кабардино - Балкарская Республика"," 901494 ","Нальчик"," 274,974 ","7"
"Северо-Кавказский ФО","Карачаево - Черкесская Республика"," 439470 ","Черкесск"," 116,244 ","9"
"Северо-Кавказский ФО","Республика Северная Осетия-Алания"," 710275 ","Владивкавказ"," 332,650 ","15"
"Северо-Кавказский ФО","Ставропольский край"," 2735139 ","Ставрополь"," 355,066 ","26, 126"
"Северо-Кавказский ФО","Чеченская Республика"," 1103686 ","Грозный"," 210,720 ","95"
